"PARM_CD","CASRN","PARM_SEQ_GRP_NM","PARM_SEQ_GRP_DS","PARM_NM","PARM_UNT_TX","PARM_DS","PARM_MEDIUM_TX","PARM_FRAC_TX","PARM_TEMP_TX","PARM_STAT_TX","PARM_TM_TX","PARM_WT_TX","PARM_SIZE_TX"
"67500","76-99-3","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Methadone, w,f<0.2um","ng/l","Methadone, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67501","532-03-6","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Methocarbamol, w,f<0.2um","ng/l","Methocarbamol, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67502","29122-68-7","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Atenolol, w,f<0.2um","ng/l","Atenolol, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67503","122-11-2","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Sulfadimethoxine, w,f<0.2um","ng/l","Sulfadimethoxine, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67504","1665-48-1","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Metaxalone, w,f<0.2um","ng/l","Metaxalone, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67505","59729-33-8","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Citalopram, w,f<0.2um","ng/l","Citalopram, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67506","125-29-1","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Hydrocodone, w,f<0.2um","ng/l","Hydrocodone, water,filtered (0.2 micron filter0, recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67507","124832-26-4","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Valacyclovir, w,f<0.2um","ng/l","Valacyclovir, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67508","186691-13-4","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Tiotropium, w,f<0.2um","ng/l","Tiotropium, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"34203","208-96-8","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Acenaphthylene, bs","ug/kg","Acenaphthylene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"34208","83-32-9","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Acenaphthene, bs","ug/kg","Acenaphthene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"34223","120-12-7","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Anthracene, bs","ug/kg","Anthracene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"34233","205-99-2","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Benzo[b]fluoranthene, bs","ug/kg","Benzo[b]fluoranthene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"34245","207-08-9","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Benzo[k]fluoranthene, bs","ug/kg","Benzo[k]fluoranthene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"34250","50-32-8","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Benzo[a]pyrene, bs","ug/kg","Benzo[a]pyrene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"34323","218-01-9","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Chrysene, bs","ug/kg","Chrysene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"34379","206-44-0","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Fluoranthene, bs","ug/kg","Fluoranthene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"34384","86-73-7","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","9H-Fluorene, bs","ug/kg","9H-Fluorene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"34406","193-39-5","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Indenopyrene, bs","ug/kg","Indeno[1,2,3-cd]pyrene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"34445","91-20-3","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Naphthalene, bs","ug/kg","Naphthalene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"34464","85-01-8","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Phenanthrene, bs","ug/kg","Phenanthrene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"34472","129-00-0","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Pyrene, bs","ug/kg","Pyrene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"34524","191-24-2","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Benzo[ghi]perylene, bs","ug/kg","Benzo[ghi]perylene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"34529","56-55-3","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Benzo[a]anthracene, bs","ug/kg","Benzo[a]anthracene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"34559","53-70-3","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Dibenzo[a,h]anthracene, bs","ug/kg","Dibenzo[a,h]anthracene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"39046","122-34-9","Organics, Pesticides","Organics, Pesticides","Simazine, bs","ug/kg","Simazine, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"39050","78-48-8","Organics, Pesticides","Organics, Pesticides","Tribufos, bs","ug/kg","Tribufos, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"39301","50-29-3","Organics, Pesticides","Organics, Pesticides","p,p'-DDT, bs","ug/kg","p,p'-DDT, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"39311","72-54-8","Organics, Pesticides","Organics, Pesticides","p,p'-DDD, bs","ug/kg","p,p'-DDD, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"39321","72-55-9","Organics, Pesticides","Organics, Pesticides","p,p'-DDE, bs","ug/kg","p,p'-DDE, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"39531","121-75-5","Organics, Pesticides","Organics, Pesticides","Malathion, bs","ug/kg","Malathion, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"39571","333-41-5","Organics, Pesticides","Organics, Pesticides","Diazinon, bs","ug/kg","Diazinon, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"39601","298-00-0","Organics, Pesticides","Organics, Pesticides","Methyl parathion, bs","ug/kg","Methyl parathion, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"39631","1912-24-9","Organics, Pesticides","Organics, Pesticides","Atrazine, bs","ug/kg","Atrazine, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"49446","82-68-8","Organics, Pesticides","Organics, Pesticides","Pentachloronitrobenzene, bs<2","ug/kg","Pentachloronitrobenzene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry","< 2 mm"
"49460","1825-21-4","Organics, Pesticides","Organics, Pesticides","Pentachloroanisole, bs<2mm,ws","ug/kg","Pentachloroanisole, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry","< 2 mm"
"62046","55-38-9","Organics, Pesticides","Organics, Pesticides","Fenthion, bs","ug/kg","Fenthion, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"62047","950-37-8","Organics, Pesticides","Organics, Pesticides","Methidathion, bs","ug/kg","Methidathion, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"62902","1582-09-8","Organics, Pesticides","Organics, Pesticides","Trifluralin, bs","ug/kg","Trifluralin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"62904","1897-45-6","Organics, Pesticides","Organics, Pesticides","Chlorothalonil, bs","ug/kg","Chlorothalonil, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"62905","1861-32-1","Organics, Pesticides","Organics, Pesticides","DCPA, bs","ug/kg","DCPA, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"63226","1610-18-0","Organics, Pesticides","Organics, Pesticides","Prometon, solids","ug/kg","Prometon, solids, recoverable, dry weight, micrograms per kilogram","Other","Recoverable","","","","Dry",""
"63227","129-00-0","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Pyrene, solids","ug/kg","Pyrene, solids, recoverable, dry weight, micrograms per kilogram","Other","Recoverable","","","","Dry",""
"63229","78-51-3","Organics, Industrial","Organics, Industrial","TBEP, solids","ug/kg","Tris(2-butoxyethyl) phosphate, solids, recoverable, dry weight, micrograms per kilogram","Other","Recoverable","","","","Dry",""
"63230","115-96-8","Organics, Industrial","Organics, Industrial","FYROL CEF, solids","ug/kg","Tris(2-chloroethyl) phosphate, solids, recoverable, dry weight, micrograms per kilogram","Other","Recoverable","","","","Dry",""
"63231","126-73-8","Organics, Industrial","Organics, Industrial","Tributyl phosphate, solids","ug/kg","Tributyl phosphate, solids, recoverable, dry weight, micrograms per kilogram","Other","Recoverable","","","","Dry",""
"63232","3380-34-5","Organics, Waste Indicator Compounds","Organics, Waste Indicator Compounds","Triclosan, solids","ug/kg","Triclosan, solids, recoverable, dry weight, micrograms per kilogram","Other","Recoverable","","","","Dry",""
"63234","115-86-6","Organics, Industrial","Organics, Industrial","Triphenyl phosphate, solids","ug/kg","Triphenyl phosphate, solids, recoverable, dry weight, micrograms per kilogram","Other","Recoverable","","","","Dry",""
"63235","13674-87-8","Organics, Industrial","Organics, Industrial","FYROL FR 2, solids","ug/kg","Tris(dichloroisopropyl) phosphate, solids, recoverable, dry weight, micrograms per kilogram","Other","Recoverable","","","","Dry",""
"64150","86-50-0","Organics, Pesticides","Organics, Pesticides","Azinphos-methyl, bs","ug/kg","Azinphos-methyl, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64151","82657-04-3","Organics, Pesticides","Organics, Pesticides","Bifenthrin, bs","ug/kg","Bifenthrin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64152","2008-41-5","Organics, Pesticides","Organics, Pesticides","Butylate, bs","ug/kg","Butylate, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64153","63-25-2","Organics, Pesticides","Organics, Pesticides","Carbaryl, bs","ug/kg","Carbaryl, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64154","1563-66-2","Organics, Pesticides","Organics, Pesticides","Carbofuran, bs","ug/kg","Carbofuran, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64155","1134-23-2","Organics, Pesticides","Organics, Pesticides","Cycloate, bs","ug/kg","Cycloate, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64156","52315-07-8","Organics, Pesticides","Organics, Pesticides","Cypermethrin, bs","ug/kg","Cypermethrin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64158","759-94-4","Organics, Pesticides","Organics, Pesticides","EPTC, bs","ug/kg","EPTC, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64159","66230-04-4","Organics, Pesticides","Organics, Pesticides","Esfenvalerate, bs","ug/kg","Esfenvalerate, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64160","55283-68-6","Organics, Pesticides","Organics, Pesticides","Ethalfluralin, bs","ug/kg","Ethalfluralin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64161","51235-04-2","Organics, Pesticides","Organics, Pesticides","Hexazinone, bs","ug/kg","Hexazinone, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"04005","51218-45-2","Organics, Pesticides","Organics, Pesticides","Metolachlor, bs","ug/kg","Metolachlor, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"04006","15972-60-8","Organics, Pesticides","Organics, Pesticides","Alachlor, bs","ug/kg","Alachlor, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64163","2212-67-1","Organics, Pesticides","Organics, Pesticides","Molinate, bs","ug/kg","Molinate, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64164","15299-99-7","Organics, Pesticides","Organics, Pesticides","Napropamide, bs","ug/kg","Napropamide, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64165","42874-03-3","Organics, Pesticides","Organics, Pesticides","Oxyfluorfen, bs","ug/kg","Oxyfluorfen, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64166","1114-71-2","Organics, Pesticides","Organics, Pesticides","Pebulate, bs","ug/kg","Pebulate, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64167","40487-42-1","Organics, Pesticides","Organics, Pesticides","Pendimethalin, bs","ug/kg","Pendimethalin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64168","52645-53-1","Organics, Pesticides","Organics, Pesticides","Permethrin, bs","ug/kg","Permethrin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64169","732-11-6","Organics, Pesticides","Organics, Pesticides","Phosmet, bs","ug/kg","Phosmet, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"64170","51-03-6","Organics, Pesticides","Organics, Pesticides","Piperonyl butoxide, bs","ug/kg","Piperonyl butoxide, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"91100","","Organics, Information","Organics, Information","Sample weight, Sch WCS","g","Sample weight, NWQL wastewater compound schedules (WCS), wet weight, grams","","","","","","Wet",""
"64171","28249-77-6","Organics, Pesticides","Organics, Pesticides","Thiobencarb, bs","ug/kg","Thiobencarb, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"65109","68359-37-5","Organics, Pesticides","Organics, Pesticides","Cyfluthrin, bs","ug/kg","Cyfluthrin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"65110","52918-63-5","Organics, Pesticides","Organics, Pesticides","Deltamethrin, bs","ug/kg","Deltamethrin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"65111","39515-41-8","Organics, Pesticides","Organics, Pesticides","Fenpropathrin, bs","ug/kg","Fenpropathrin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"65112","26002-80-2","Organics, Pesticides","Organics, Pesticides","Phenothrin, bs","ug/kg","Phenothrin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"65113","10453-86-8","Organics, Pesticides","Organics, Pesticides","Resmethrin, bs","ug/kg","Resmethrin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"65114","102851-06-9","Organics, Pesticides","Organics, Pesticides","tau-Fluvalinate, bs","ug/kg","tau-Fluvalinate, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"65236","91-57-6","Organics, Pharmaceuticals","Organics, Pharmaceuticals","2-Methylnaphthalene, bs","ug/kg","2-Methylnaphthalene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66585","95-76-1","Organics, Pesticides","Organics, Pesticides","3,4-Dichloroaniline, bs, dw","ug/kg","3,4-Dichloroaniline, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66588","584-79-2","Organics, Pesticides","Organics, Pesticides","Allethrin, bs, dw","ug/kg","Allethrin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66591","131860-33-8","Organics, Pesticides","Organics, Pesticides","Azoxystrobin, bs, dw","ug/kg","Azoxystrobin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66595","94361-06-5","Organics, Pesticides","Organics, Pesticides","Cyproconazole, bs, dw","ug/kg","Cyproconazole, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66606","120068-37-3","Organics, Pesticides","Organics, Pesticides","Fipronil, bs, dw","ug/kg","Fipronil, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66609","205650-65-3","Organics, Pesticides","Organics, Pesticides","Desulfinylfipronil, bs, dw","ug/kg","Desulfinylfipronil, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66612","120067-83-6","Organics, Pesticides","Organics, Pesticides","Fipronil sulfide, bs, dw","ug/kg","Fipronil sulfide, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66615","120068-36-2","Organics, Pesticides","Organics, Pesticides","Fipronil sulfone, bs, dw","ug/kg","Fipronil sulfone, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66618","36734-19-7","Organics, Pesticides","Organics, Pesticides","Iprodione, bs, dw","ug/kg","Iprodione, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66622","125116-23-6","Organics, Pesticides","Organics, Pesticides","Metconazole, bs, dw","ug/kg","Metconazole, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66625","40596-69-8","Organics, Pesticides","Organics, Pesticides","Methoprene, bs, dw","ug/kg","Methoprene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66634","88671-89-0","Organics, Pesticides","Organics, Pesticides","Myclobutanil, bs, dw","ug/kg","Myclobutanil, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66642","709-98-8","Organics, Pesticides","Organics, Pesticides","Propanil, bs, dw","ug/kg","Propanil, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66645","60207-90-1","Organics, Pesticides","Organics, Pesticides","Propiconazole, bs, dw","ug/kg","Propiconazole, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66648","175013-18-0","Organics, Pesticides","Organics, Pesticides","Pyraclostrobin, bs, dw","ug/kg","Pyraclostrobin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66650","107534-96-3","Organics, Pesticides","Organics, Pesticides","Tebuconazole, bs, dw","ug/kg","Tebuconazole, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66656","112281-77-3","Organics, Pesticides","Organics, Pesticides","Tetraconazole, bs, dw","ug/kg","Tetraconazole, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66659","7696-12-0","Organics, Pesticides","Organics, Pesticides","Tetramethrin, bs, dw","ug/kg","Tetramethrin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66662","141517-21-7","Organics, Pesticides","Organics, Pesticides","Trifloxystrobin, bs, dw","ug/kg","Trifloxystrobin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67538","626-43-7","Organics, Pesticides","Organics, Pesticides","3,5-Dichloroaniline, bs","ug/kg","3,5-Dichloroaniline, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67552","188425-85-6","Organics, Pesticides","Organics, Pesticides","Boscalid, bs","ug/kg","Boscalid, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67564","81777-89-1","Organics, Pesticides","Organics, Pesticides","Clomazone, bs","ug/kg","Clomazone, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67576","121552-61-2","Organics, Pesticides","Organics, Pesticides","Cyprodinil, bs","ug/kg","Cyprodinil, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67584","119446-68-3","Organics, Pesticides","Organics, Pesticides","Difenoconazole, bs","ug/kg","Difenoconazole, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67606","80844-07-1","Organics, Pesticides","Organics, Pesticides","Etofenprox, bs","ug/kg","Etofenprox, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67611","131807-57-3","Organics, Pesticides","Organics, Pesticides","Famoxadone, bs","ug/kg","Famoxadone, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67615","60168-88-9","Organics, Pesticides","Organics, Pesticides","Fenarimol, bs","ug/kg","Fenarimol, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67620","114369-43-6","Organics, Pesticides","Organics, Pesticides","Fenbuconazole, bs","ug/kg","Fenbuconazole, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67624","126833-17-8","Organics, Pesticides","Organics, Pesticides","Fenhexamid, bs","ug/kg","Fenhexamid, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67638","79622-59-6","Organics, Pesticides","Organics, Pesticides","Fluazinam, bs","ug/kg","Fluazinam, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67642","131341-86-1","Organics, Pesticides","Organics, Pesticides","Fludioxonil, bs","ug/kg","Fludioxonil, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67647","193740-76-0","Organics, Pesticides","Organics, Pesticides","Fluoxastrobin, bs","ug/kg","Fluoxastrobin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67651","85509-19-9","Organics, Pesticides","Organics, Pesticides","Flusilazole, bs","ug/kg","Flusilazole, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67655","76674-21-0","Organics, Pesticides","Organics, Pesticides","Flutriafol, bs","ug/kg","Flutriafol, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67664","35554-44-0","Organics, Pesticides","Organics, Pesticides","Imazalil, bs","ug/kg","Imazalil, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67672","143390-89-0","Organics, Pesticides","Organics, Pesticides","Kresoxim-methyl, bs","ug/kg","Kresoxim-methyl, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67708","23950-58-5","Organics, Pesticides","Organics, Pesticides","Propyzamide, bs","ug/kg","Propyzamide, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67719","53112-28-0","Organics, Pesticides","Organics, Pesticides","Pyrimethanil, bs","ug/kg","Pyrimethanil, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67733","79538-32-2","Organics, Pesticides","Organics, Pesticides","Tefluthrin, bs","ug/kg","Tefluthrin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67743","43121-43-3","Organics, Pesticides","Organics, Pesticides","Triadimefon, bs","ug/kg","Triadimefon, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67748","55219-65-3","Organics, Pesticides","Organics, Pesticides","Triadimenol, bs","ug/kg","Triadimenol, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67755","68694-11-1","Organics, Pesticides","Organics, Pesticides","Triflumizole, bs","ug/kg","Triflumizole, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67760","131983-72-7","Organics, Pesticides","Organics, Pesticides","Triticonazole, bs","ug/kg","Triticonazole, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67765","50471-44-8","Organics, Pesticides","Organics, Pesticides","Vinclozolin, bs","ug/kg","Vinclozolin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67770","156052-68-5","Organics, Pesticides","Organics, Pesticides","Zoxamide, bs","ug/kg","Zoxamide, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"68324","133-06-2","Organics, Pesticides","Organics, Pesticides","Captan, bs","ug/kg","Captan, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Recoverable","","","","Dry",""
"68356","68085-85-8","Organics, Pesticides","Organics, Pesticides","Cyhalothrin (all isomers), bs","ug/kg","Cyhalothrin (all isomers), bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Recoverable","","","","Dry",""
"68375","110488-70-5","Organics, Pesticides","Organics, Pesticides","Dimethomorph, bs","ug/kg","Dimethomorph, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Recoverable","","","","Dry",""
"68439","57837-19-1","Organics, Pesticides","Organics, Pesticides","Metalaxyl, bs","ug/kg","Metalaxyl, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Recoverable","","","","Dry",""
"68876","6967-29-9","Organics, Pesticides","Organics, Pesticides","Alachlor 2nd amide, bs","ug/kg","2-Chloro-2',6'-diethylacetanilide, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
